houseTypes,area,num_floors,bedrooms,address,price,url
Bán Nhà mặt phố,71,5,,"Gia Lâm, Hà Nội",15.5,https://batdongsan.vn/chinh-chu-can-ban-can-shophouse-ngoc-trai-08-gia-155-ty-vinhomes-ocean-park-gia-lam-0868878818-r268512
Bán Nhà riêng,36,5,4,"Đống Đa, Hà Nội",5.5,https://batdongsan.vn/ban-nha-lang-quan-dong-da-36m2-x-5t-chi-hon-5-ty-r268511
Bán Nhà mặt phố,41,2,3,"Bình Tân, TP Hồ Chí Minh",5.2,https://batdongsan.vn/ban-nha-duong-binh-tri-dong-binh-tan-hxh-41m2-2tang-btct-kinh-doanh-nhinh-5-ty-tl-r268510
Bán Nhà riêng,26,5,3,"Thanh Xuân, Hà Nội",3.8,https://batdongsan.vn/ban-nha-nguyen-trai-thanh-xuan-26m2-x-5t-chi-38-ty-r268509
Bán Nhà mặt phố,66,5,,"Tân Bình, TP Hồ Chí Minh",8.5,https://batdongsan.vn/lo-goc-2-mat-tien-kinh-doanh-khu-san-bay-66m2-ngang-6m-gia-8x-ty-r268508
Bán Nhà riêng,30,,3,"Cầu Giấy, Hà Nội",3.5,https://batdongsan.vn/nha-cau-giay-ngo-nong-o-to-vao-gan-nha-gan-mat-pho-mt-5m-35-ty-r268507
Bán Nhà riêng,100,1,3,"Bình Tân, TP Hồ Chí Minh",4.8,https://batdongsan.vn/binh-tan-lo-goc-2-mat-thoang-mat-100m2-ngang-8m-gia-4x-r268506
Bán Nhà riêng,47,5,5,"Hai Bà Trưng, Hà Nội",4.6,https://batdongsan.vn/cuc-hiem-ngo-nong-rong-thoang-40m-ra-mat-ngo-goc-de-moi-o-to-tranh-gan-truong-gan-cho-nha-3-thoang-chu-tu-xay-cuc-tam-huyet-r268505
Bán Nhà riêng,50,3,4,"Nam Từ Liêm, Hà Nội",5.15,https://batdongsan.vn/ban-nha-phu-do-vai-buoc-ra-san-van-dong-my-dinh-50m2-515-ty-r268503
Bán Nhà riêng,33,3,2,"Bắc Từ Liêm, Hà Nội",3.4,https://batdongsan.vn/ban-nha-co-nhue-bac-tu-liem-tang-noi-that-33m2-34-ty-r268502
Bán Nhà riêng,42,4,,"Thanh Xuân, Hà Nội",5.1,https://batdongsan.vn/ban-nha-truong-chinh-nha-moi-tan-trang-dep-lung-linh-42-m2-51-ty-r268500
Bán Nhà riêng,72,1,4,"Biên Hòa, Đồng Nai",3.57,https://batdongsan.vn/ban-nha-1-tret-1-lau-tho-cu-72m2-duong-o-to-ptan-tien-chi-3570-ti-r268499
Bán Nhà riêng,25,3,,"Thanh Xuân, Hà Nội",3.5,https://batdongsan.vn/ban-nha-khuong-dinh-thanh-xuan-ngo-rong-o-to-tranh-25m2-35-ty-r268497
Bán Nhà riêng,44,2,,"Thanh Xuân, Hà Nội",2.8,https://batdongsan.vn/ban-nha-mat-pho-quan-nhan-kinh-doanh-tot-44m2-28-ty-r268496
Bán Nhà riêng,93.5,7,4,"Hai Bà Trưng, Hà Nội",14,https://batdongsan.vn/moi-ban-nha-tran-khat-chan-lo-goc-o-to-kd-no-hau-dt-935m2-14-ty-r268493
Bán Nhà riêng,24,5,3,"Nam Từ Liêm, Hà Nội",3.59,https://batdongsan.vn/het-y-bai-tho-phuc-dien-2428m25tnhinh-3-ty-nam-tu-liem-r268492
Bán Nhà riêng,48,4,4,"Hồng Bàng, Hải Phòng",3.25,https://batdongsan.vn/ban-hoa-hau-4-tang-48m2-huong-tn-do-thi-himlam-hung-vuong-hong-bang-hai-phong-r268490
Bán Nhà riêng,53,4,4,"Long Biên, Hà Nội",3.45,https://batdongsan.vn/ban-nhanh-nha-ngoc-thuy-vi-tri-dep-o-to-tranh-10-phut-sang-pho-co-hiem-gia-345-ty-r268485
Bán Nhà riêng,50,4,4,"Hồng Bàng, Hải Phòng",3.2,https://batdongsan.vn/ban-nha-4-tang-50m2-huong-tn-sieu-dep-khu-do-thi-himlam-hung-vuong-hong-bang-hai-phong-r268481
Bán Nhà riêng,47,4,4,"Gò Vấp, TP Hồ Chí Minh",8.8,https://batdongsan.vn/nha-dep-lung-linh-hxh-6m-thong-nhat-p11-go-vap-4-tang-chi-88-ty-r268477
Bán Nhà riêng,35,1,2,"Quận 3, TP Hồ Chí Minh",75,https://batdongsan.vn/trung-tam-quan-3-khu-vip-hem-xe-tai-6m-cuc-dep-o-to-quay-dau-thoai-mai-so-vuong-no-hau-nhe-r268476
Bán Nhà riêng,88,2,3,"Quận 9, TP Hồ Chí Minh",6.5,https://batdongsan.vn/ban-gap-nha-kdc-bach-khoa-1-tret-2-lau-88m2-huong-dong-nam-so-hong-hoan-cong-lh-0388-668-882-zalo-r268474
Bán Nhà riêng,30,5,3,"Hoàng Mai, Hà Nội",3.99,https://batdongsan.vn/ban-nha-giap-nhi-hoang-mai-30m2-x-5t-chi-399-ty-r268472
Bán Nhà riêng,60,2,2,"Quận 12, TP Hồ Chí Minh",4,https://batdongsan.vn/ban-nha-ttn5-quan-12-60m-chi-nhinh-35-ty-r268468
Bán Nhà riêng,27,3,2,"Tân Bình, TP Hồ Chí Minh",2.85,https://batdongsan.vn/nha-3-tang-dau-duong-ni-su-huynh-lien-thong-bau-cat-285-ty-r268466
Bán Nhà riêng,45,5,,"Cầu Giấy, Hà Nội",6.5,https://batdongsan.vn/nha-dep-gan-pho-cau-giay-trung-tam-quan-cau-giay-o-sieu-vip-45-m2-65-ty-r268465
Bán Nhà riêng,60,2,2,"Quận 12, TP Hồ Chí Minh",5,https://batdongsan.vn/ban-nha-ttn5-quan-12-72m-xe-tai-gia-chi-5-ty-r268464
